Poskytovateľ,Dataset,Zobrazenia,Rok
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,36,2023
Štátny veterinárny a potravinový ústav,Štátny veterinárny a potravinový ústav,36,2023
Štatistický úrad SR,Štatistický úrad SR,36,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",35,2023
Najvyšší kontrolný úrad SR,Najvyšší kontrolný úrad SR,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",35,2023
Národné lesnícke centrum,Národné lesnícke centrum,35,2023
Štátne lesy Tatranského národného parku Tatranská Lomnica,Štátne lesy Tatranského národného parku Tatranská Lomnica,35,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,35,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",35,2023
Štátny veterinárny a potravinový ústav,Štátny veterinárny a potravinový ústav,35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Plemenárska inšpekcia SR Nitra,Plemenárska inšpekcia SR Nitra,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,35,2023
Ministerstvo financií SR,Ministerstvo financií SR,35,2023
Slovenská agentúra životného prostredia Banská Bystrica,Slovenská agentúra životného prostredia Banská Bystrica,35,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,35,2023
Prešovský samosprávny kraj,Prešovský samosprávny kraj,35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Regionálny úrad verejného zdravotníctva Trenčín,Regionálny úrad verejného zdravotníctva Trenčín,35,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Národné lesnícke centrum,Národné lesnícke centrum,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Štátny veterinárny a potravinový ústav,Štátny veterinárny a potravinový ústav,35,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,35,2023
"Regionálny úrad verejného zdravotníctva, Banská Bystrica","Regionálny úrad verejného zdravotníctva, Banská Bystrica",35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Regionálny úrad verejného zdravotníctva Michalovce,Regionálny úrad verejného zdravotníctva Michalovce,35,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",35,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,35,2023
Štatistický úrad SR,Štatistický úrad SR,35,2023
Mesto Vranov nad Topľou (OVM),Mesto Vranov nad Topľou (OVM),35,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Regionálny úrad verejného zdravotníctva Nové Zámky,Regionálny úrad verejného zdravotníctva Nové Zámky,34,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
"Regionálny úrad verejného zdravotníctva, Banská Bystrica","Regionálny úrad verejného zdravotníctva, Banská Bystrica",34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",34,2023
Regionálny úrad verejného zdravotníctva Galanta,Regionálny úrad verejného zdravotníctva Galanta,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Ministerstvo hospodárstva SR,Ministerstvo hospodárstva SR,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,34,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,34,2023
Slovenská agentúra životného prostredia Banská Bystrica,Slovenská agentúra životného prostredia Banská Bystrica,34,2023
Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,34,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,34,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Úrad jadrového dozoru Slovenskej republiky,Úrad jadrového dozoru Slovenskej republiky,34,2023
Štatistický úrad SR,Štatistický úrad SR,34,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,34,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,33,2023
Ministerstvo kultúry SR,Ministerstvo kultúry SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,33,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",33,2023
"Agroinštitút Nitra, štátny podnik","Agroinštitút Nitra, štátny podnik",33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Najvyšší kontrolný úrad SR,Najvyšší kontrolný úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,33,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ministerstvo financií SR,Ministerstvo financií SR,33,2023
Regionálny úrad verejného zdravotníctva Považská Bystrica,Regionálny úrad verejného zdravotníctva Považská Bystrica,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,33,2023
Regionálny úrad verejného zdravotníctva Považská Bystrica,Regionálny úrad verejného zdravotníctva Považská Bystrica,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,33,2023
Štatistický úrad SR,Štatistický úrad SR,33,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,33,2023
Najvyšší kontrolný úrad SR,Najvyšší kontrolný úrad SR,33,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",33,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",32,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
"Regionálny úrad verejného zdravotníctva, Banská Bystrica","Regionálny úrad verejného zdravotníctva, Banská Bystrica",32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Ministerstvo kultúry SR,Ministerstvo kultúry SR,32,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,32,2023
Štátny veterinárny a potravinový ústav,Štátny veterinárny a potravinový ústav,32,2023
Inštitút vzdelávania veterinárnych lekárov Košice,Inštitút vzdelávania veterinárnych lekárov Košice,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štátny veterinárny a potravinový ústav,Štátny veterinárny a potravinový ústav,32,2023
Regionálny úrad verejného zdravotníctva Nitra,Regionálny úrad verejného zdravotníctva Nitra,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",32,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",32,2023
"Regionálny úrad verejného zdravotníctva, Banská Bystrica","Regionálny úrad verejného zdravotníctva, Banská Bystrica",32,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",32,2023
"Regionálny úrad verejného zdravotníctva, Banská Bystrica","Regionálny úrad verejného zdravotníctva, Banská Bystrica",32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,32,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,32,2023
Ministerstvo kultúry SR,Ministerstvo kultúry SR,32,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Prešovský samosprávny kraj,Prešovský samosprávny kraj,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Regionálny úrad verejného zdravotníctva Levice,Regionálny úrad verejného zdravotníctva Levice,32,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",32,2023
Ministerstvo financií SR,Ministerstvo financií SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,32,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",31,2023
Slovenská správa ciest,Slovenská správa ciest,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Obec Horné Strháre,Obec Horné Strháre,31,2023
Regionálny úrad verejného zdravotníctva Považská Bystrica,Regionálny úrad verejného zdravotníctva Považská Bystrica,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Úrad vlády SR,Úrad vlády SR,31,2023
Ministerstvo financií SR,Ministerstvo financií SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Regionálny úrad verejného zdravotníctva Nitra,Regionálny úrad verejného zdravotníctva Nitra,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Úrad jadrového dozoru Slovenskej republiky,Úrad jadrového dozoru Slovenskej republiky,31,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",31,2023
Výskumný ústav vodného hospodárstva,Výskumný ústav vodného hospodárstva,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,31,2023
Najvyšší kontrolný úrad SR,Najvyšší kontrolný úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
"Plemenárske služby Slovenskej republiky, štátny podnik","Plemenárske služby Slovenskej republiky, štátny podnik",31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,31,2023
Úrad priemyselného vlastníctva Slovenskej republiky,Úrad priemyselného vlastníctva Slovenskej republiky,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,31,2023
Úrad vlády SR,Úrad vlády SR,31,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Správa štátnych hmotných rezerv Slovenskej republiky,Správa štátnych hmotných rezerv Slovenskej republiky,30,2023
"Agroinštitút Nitra, štátny podnik","Agroinštitút Nitra, štátny podnik",30,2023
Najvyšší kontrolný úrad SR,Najvyšší kontrolný úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,30,2023
"Regionálny úrad verejného zdravotníctva, Žilina","Regionálny úrad verejného zdravotníctva, Žilina",30,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,30,2023
"Lesopoľnohospodársky majetok Ulič, štátny podnik","Lesopoľnohospodársky majetok Ulič, štátny podnik",30,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,30,2023
Regionálny úrad verejného zdravotníctva Nitra,Regionálny úrad verejného zdravotníctva Nitra,30,2023
Štátna veterinárna a potravinová správa Bratislava,Štátna veterinárna a potravinová správa Bratislava,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Regionálny úrad verejného zdravotníctva Trenčín,Regionálny úrad verejného zdravotníctva Trenčín,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",30,2023
Úrad vlády SR,Úrad vlády SR,30,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,Regionálny úrad verejného zdravotníctva so sídlom vo Veľkom Krtíši,30,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
"Hydromeliorácie, štátny podnik","Hydromeliorácie, štátny podnik",30,2023
Štátne lesy Tatranského národného parku Tatranská Lomnica,Štátne lesy Tatranského národného parku Tatranská Lomnica,30,2023
Úrad pre verejné obstarávanie,Úrad pre verejné obstarávanie,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
"LESY Slovenskej republiky, štátny podnik","LESY Slovenskej republiky, štátny podnik",30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Regionálny úrad verejného zdravotníctva Nitra,Regionálny úrad verejného zdravotníctva Nitra,30,2023
Ministerstvo spravodlivosti SR,Ministerstvo spravodlivosti SR,30,2023
"Ministerstvo práce, sociálnych vecí a rodiny SR","Ministerstvo práce, sociálnych vecí a rodiny SR",30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Plemenárska inšpekcia SR Nitra,Plemenárska inšpekcia SR Nitra,30,2023
Štatistický úrad SR,Štatistický úrad SR,30,2023
Prešovský samosprávny kraj,Prešovský samosprávny kraj,30,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,30,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Regionálny úrad verejného zdravotníctva Levice,Regionálny úrad verejného zdravotníctva Levice,29,2023
Ministerstvo pôdohospodárstva a rozvoja vidieka SR,Ministerstvo pôdohospodárstva a rozvoja vidieka SR,29,2023
Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,Úrad podpredsedu vlády Slovenskej republiky pre investície a informatizáciu,29,2023
Národné lesnícke centrum,Národné lesnícke centrum,29,2023
"Lesopoľnohospodársky majetok Ulič, štátny podnik","Lesopoľnohospodársky majetok Ulič, štátny podnik",29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štátne lesy Tatranského národného parku Tatranská Lomnica,Štátne lesy Tatranského národného parku Tatranská Lomnica,29,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,29,2023
Regionálny úrad verejného zdravotníctva Topoľčany,Regionálny úrad verejného zdravotníctva Topoľčany,29,2023
Štátne lesy Tatranského národného parku Tatranská Lomnica,Štátne lesy Tatranského národného parku Tatranská Lomnica,29,2023
Regionálny úrad verejného zdravotníctva Nitra,Regionálny úrad verejného zdravotníctva Nitra,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
"Protimonopolný úrad SR, Bratislava","Protimonopolný úrad SR, Bratislava",29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
Ministerstvo životného prostredia SR,Ministerstvo životného prostredia SR,29,2023
Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,Ústredný kontrolný a skúšobný ústav poľnohospodársky v Bratislave,29,2023
Štatistický úrad SR,Štatistický úrad SR,29,2023
